,arr,dep,mile,day,houseID
0,20:05:00,10:17:00,24.848410079221672,0,0
1,20:52:00,8:05:00,31.943181319707538,1,0
2,17:02:00,9:35:00,10.745394821080465,0,1
3,17:26:00,7:18:00,32.0376187913436,1,1
4,16:52:00,7:57:00,19.36627610563464,0,2
5,17:06:00,10:44:00,33.65259265096491,1,2
6,19:36:00,10:24:00,19.717850165434346,0,3
7,18:01:00,9:16:00,17.665722511649367,1,3
8,17:55:00,10:00:00,24.963506889634278,0,4
9,17:54:00,10:58:00,31.066128386709167,1,4
10,17:28:00,10:56:00,31.523698975200993,0,5
11,17:30:00,7:11:00,27.305529245915015,1,5
12,17:25:00,8:57:00,36.83238247628578,0,6
13,19:50:00,8:50:00,44.89010132599233,1,6
14,17:52:00,8:03:00,34.72865947269649,0,7
15,17:57:00,9:38:00,13.783148699793848,1,7
16,18:00:00,9:34:00,23.299336774610623,0,8
17,17:31:00,9:09:00,21.36047397733217,1,8
18,17:19:00,10:38:00,13.993406756137597,0,9
19,19:59:00,8:06:00,29.4380105436396,1,9
