"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|GB","Actual Total Load [MW] - BZN|GB"
"09.02.2019 01:30 - 09.02.2019 02:00","27266","29513"
"09.02.2019 02:00 - 09.02.2019 02:30","26846","28627"
"09.02.2019 02:30 - 09.02.2019 03:00","26499","28385"
"09.02.2019 03:00 - 09.02.2019 03:30","25849","27094"
"09.02.2019 03:30 - 09.02.2019 04:00","25200","26575"
"09.02.2019 04:00 - 09.02.2019 04:30","24814","25841"
"09.02.2019 04:30 - 09.02.2019 05:00","24723","25568"
"09.02.2019 05:00 - 09.02.2019 05:30","24942","26289"
"09.02.2019 05:30 - 09.02.2019 06:00","25782","27018"
"09.02.2019 06:00 - 09.02.2019 06:30","27086","29281"
"09.02.2019 06:30 - 09.02.2019 07:00","28497","31004"
"09.02.2019 07:00 - 09.02.2019 07:30","29680","33185"
"09.02.2019 07:30 - 09.02.2019 08:00","31212","34177"
"09.02.2019 08:00 - 09.02.2019 08:30","33439","36979"
"09.02.2019 08:30 - 09.02.2019 09:00","35514","38356"
"09.02.2019 09:00 - 09.02.2019 09:30","36618","39887"
"09.02.2019 09:30 - 09.02.2019 10:00","36822","40661"
"09.02.2019 10:00 - 09.02.2019 10:30","37034","41285"
"09.02.2019 10:30 - 09.02.2019 11:00","37402","41700"
"09.02.2019 11:00 - 09.02.2019 11:30","37834","41450"
"09.02.2019 11:30 - 09.02.2019 12:00","38012","41094"
"09.02.2019 12:00 - 09.02.2019 12:30","37838","40529"
"09.02.2019 12:30 - 09.02.2019 13:00","37611","40346"
"09.02.2019 13:00 - 09.02.2019 13:30","37289","39987"
"09.02.2019 13:30 - 09.02.2019 14:00","36928","39231"
"09.02.2019 14:00 - 09.02.2019 14:30","36709","38691"
"09.02.2019 14:30 - 09.02.2019 15:00","36692","38356"
"09.02.2019 15:00 - 09.02.2019 15:30","36900","38474"
"09.02.2019 15:30 - 09.02.2019 16:00","37419","38518"
"09.02.2019 16:00 - 09.02.2019 16:30","38275","38828"
"09.02.2019 16:30 - 09.02.2019 17:00","39610","40093"
"09.02.2019 17:00 - 09.02.2019 17:30","41054","42029"
"09.02.2019 17:30 - 09.02.2019 18:00","41212","42744"
"09.02.2019 18:00 - 09.02.2019 18:30","40555","42215"
"09.02.2019 18:30 - 09.02.2019 19:00","39943","41718"
"09.02.2019 19:00 - 09.02.2019 19:30","39089","40700"
"09.02.2019 19:30 - 09.02.2019 20:00","38046","39654"
"09.02.2019 20:00 - 09.02.2019 20:30","36821","38962"
"09.02.2019 20:30 - 09.02.2019 21:00","35496","37890"
"09.02.2019 21:00 - 09.02.2019 21:30","34227","36884"
"09.02.2019 21:30 - 09.02.2019 22:00","32762","35896"
"09.02.2019 22:00 - 09.02.2019 22:30","31472","34257"
"09.02.2019 22:30 - 09.02.2019 23:00","30183","33081"
"09.02.2019 23:00 - 09.02.2019 23:30","28906","31635"
"09.02.2019 23:30 - 10.02.2019 00:00","28334","30182"
"10.02.2019 00:00 - 10.02.2019 00:30","28084","30191"
"10.02.2019 00:30 - 10.02.2019 01:00","28078","31011"
"10.02.2019 01:00 - 10.02.2019 01:30","27304","30173"
"10.02.2019 01:30 - 10.02.2019 02:00","26487","29778"
"10.02.2019 02:00 - 10.02.2019 02:30","26245","29327"
"10.02.2019 02:30 - 10.02.2019 03:00","25977","29058"
"10.02.2019 03:00 - 10.02.2019 03:30","25256","28498"
"10.02.2019 03:30 - 10.02.2019 04:00","24583","27826"
"10.02.2019 04:00 - 10.02.2019 04:30","24218","27307"
"10.02.2019 04:30 - 10.02.2019 05:00","24081","27136"
"10.02.2019 05:00 - 10.02.2019 05:30","24068","27683"
"10.02.2019 05:30 - 10.02.2019 06:00","24639","27835"
"10.02.2019 06:00 - 10.02.2019 06:30","25523","29154"
"10.02.2019 06:30 - 10.02.2019 07:00","26469","30321"
"10.02.2019 07:00 - 10.02.2019 07:30","27333","31743"
"10.02.2019 07:30 - 10.02.2019 08:00","28398","32416"
"10.02.2019 08:00 - 10.02.2019 08:30","30208","34332"
"10.02.2019 08:30 - 10.02.2019 09:00","32175","36065"
"10.02.2019 09:00 - 10.02.2019 09:30","33757","37897"
"10.02.2019 09:30 - 10.02.2019 10:00","35053","39134"
"10.02.2019 10:00 - 10.02.2019 10:30","36015","40376"
"10.02.2019 10:30 - 10.02.2019 11:00","36539","41131"
"10.02.2019 11:00 - 10.02.2019 11:30","37169","42200"
"10.02.2019 11:30 - 10.02.2019 12:00","37823","42665"
"10.02.2019 12:00 - 10.02.2019 12:30","38399","42903"
"10.02.2019 12:30 - 10.02.2019 13:00","38539","42905"
"10.02.2019 13:00 - 10.02.2019 13:30","37940","42435"
"10.02.2019 13:30 - 10.02.2019 14:00","37718","41666"
"10.02.2019 14:00 - 10.02.2019 14:30","38051","41324"
"10.02.2019 14:30 - 10.02.2019 15:00","38315","4736"
"10.02.2019 15:00 - 10.02.2019 15:30","38741","40964"
"10.02.2019 15:30 - 10.02.2019 16:00","39264","41405"
"10.02.2019 16:00 - 10.02.2019 16:30","40450","41784"
"10.02.2019 16:30 - 10.02.2019 17:00","42304","42946"
"10.02.2019 17:00 - 10.02.2019 17:30","43369","45291"
"10.02.2019 17:30 - 10.02.2019 18:00","43067","46449"
"10.02.2019 18:00 - 10.02.2019 18:30","42063","46113"
"10.02.2019 18:30 - 10.02.2019 19:00","41122","45301"
"10.02.2019 19:00 - 10.02.2019 19:30","40179","45141"
"10.02.2019 19:30 - 10.02.2019 20:00","39106","44034"
"10.02.2019 20:00 - 10.02.2019 20:30","37876","42777"
"10.02.2019 20:30 - 10.02.2019 21:00","36493","41210"
"10.02.2019 21:00 - 10.02.2019 21:30","34898","39880"
"10.02.2019 21:30 - 10.02.2019 22:00","33087","37870"
"10.02.2019 22:00 - 10.02.2019 22:30","31475","35940"
"10.02.2019 22:30 - 10.02.2019 23:00","29693","34278"
"10.02.2019 23:00 - 10.02.2019 23:30","28134","31803"
"10.02.2019 23:30 - 11.02.2019 00:00","27679","30249"
"11.02.2019 00:00 - 11.02.2019 00:30","28024","29851"
"11.02.2019 00:30 - 11.02.2019 01:00","28276","30498"
"11.02.2019 01:00 - 11.02.2019 01:30","28002","30700"
"11.02.2019 01:30 - 11.02.2019 02:00","27510","29847"
"11.02.2019 02:00 - 11.02.2019 02:30","27333","29310"
"11.02.2019 02:30 - 11.02.2019 03:00","27239","29201"
"11.02.2019 03:00 - 11.02.2019 03:30","26897","28513"
"11.02.2019 03:30 - 11.02.2019 04:00","26482","27999"
"11.02.2019 04:00 - 11.02.2019 04:30","26288","27918"
"11.02.2019 04:30 - 11.02.2019 05:00","26657","28038"
"11.02.2019 05:00 - 11.02.2019 05:30","27586","29023"
"11.02.2019 05:30 - 11.02.2019 06:00","29801","30473"
"11.02.2019 06:00 - 11.02.2019 06:30","32914","33846"
"11.02.2019 06:30 - 11.02.2019 07:00","35897","37430"
"11.02.2019 07:00 - 11.02.2019 07:30","38218","40386"
"11.02.2019 07:30 - 11.02.2019 08:00","40064","41673"
"11.02.2019 08:00 - 11.02.2019 08:30","42075","42937"
"11.02.2019 08:30 - 11.02.2019 09:00","43227","43652"
"11.02.2019 09:00 - 11.02.2019 09:30","43822","43844"
"11.02.2019 09:30 - 11.02.2019 10:00","44367","45291"
"11.02.2019 10:00 - 11.02.2019 10:30","44578","45791"
"11.02.2019 10:30 - 11.02.2019 11:00","44449","45541"
"11.02.2019 11:00 - 11.02.2019 11:30","44314","45829"
"11.02.2019 11:30 - 11.02.2019 12:00","44445","45756"
"11.02.2019 12:00 - 11.02.2019 12:30","44360","45751"
"11.02.2019 12:30 - 11.02.2019 13:00","44036","45346"
"11.02.2019 13:00 - 11.02.2019 13:30","43717","45073"
"11.02.2019 13:30 - 11.02.2019 14:00","43531","44536"
"11.02.2019 14:00 - 11.02.2019 14:30","43402","44478"
"11.02.2019 14:30 - 11.02.2019 15:00","43286","44256"
"11.02.2019 15:00 - 11.02.2019 15:30","43212","43522"
"11.02.2019 15:30 - 11.02.2019 16:00","43139","43369"
"11.02.2019 16:00 - 11.02.2019 16:30","43535","44604"
"11.02.2019 16:30 - 11.02.2019 17:00","44439","44855"
"11.02.2019 17:00 - 11.02.2019 17:30","45919","46216"
"11.02.2019 17:30 - 11.02.2019 18:00","47096","47799"
"11.02.2019 18:00 - 11.02.2019 18:30","46990","48113"
"11.02.2019 18:30 - 11.02.2019 19:00","46348","48266"
"11.02.2019 19:00 - 11.02.2019 19:30","45521","47872"
"11.02.2019 19:30 - 11.02.2019 20:00","44135","47140"
"11.02.2019 20:00 - 11.02.2019 20:30","42280","46486"
"11.02.2019 20:30 - 11.02.2019 21:00","40402","45158"
"11.02.2019 21:00 - 11.02.2019 21:30","38256","43338"
"11.02.2019 21:30 - 11.02.2019 22:00","35920","40787"
"11.02.2019 22:00 - 11.02.2019 22:30","33996","38397"
"11.02.2019 22:30 - 11.02.2019 23:00","31982","36455"
"11.02.2019 23:00 - 11.02.2019 23:30","30210","33969"
"11.02.2019 23:30 - 12.02.2019 00:00","29016","32713"
"12.02.2019 00:00 - 12.02.2019 00:30","29122","32301"
"12.02.2019 00:30 - 12.02.2019 01:00","29130","32755"
"12.02.2019 01:00 - 12.02.2019 01:30","28757","31781"
"12.02.2019 01:30 - 12.02.2019 02:00","28182","31089"
"12.02.2019 02:00 - 12.02.2019 02:30","28085","30532"
"12.02.2019 02:30 - 12.02.2019 03:00","28138","30310"
"12.02.2019 03:00 - 12.02.2019 03:30","27758","29864"
"12.02.2019 03:30 - 12.02.2019 04:00","27375","29697"
"12.02.2019 04:00 - 12.02.2019 04:30","27281","29286"
"12.02.2019 04:30 - 12.02.2019 05:00","27646","29483"
"12.02.2019 05:00 - 12.02.2019 05:30","28476","28210"
"12.02.2019 05:30 - 12.02.2019 06:00","30819","29707"
"12.02.2019 06:00 - 12.02.2019 06:30","34207","34893"
"12.02.2019 06:30 - 12.02.2019 07:00","37943","38017"
"12.02.2019 07:00 - 12.02.2019 07:30","40723","42615"
"12.02.2019 07:30 - 12.02.2019 08:00","41604","43945"
"12.02.2019 08:00 - 12.02.2019 08:30","41861","44781"
"12.02.2019 08:30 - 12.02.2019 09:00","42384","45212"
"12.02.2019 09:00 - 12.02.2019 09:30","43038","44797"
"12.02.2019 09:30 - 12.02.2019 10:00","43009","45347"
"12.02.2019 10:00 - 12.02.2019 10:30","42925","43428"
"12.02.2019 10:30 - 12.02.2019 11:00","42983","43510"
"12.02.2019 11:00 - 12.02.2019 11:30","43056","45773"
"12.02.2019 11:30 - 12.02.2019 12:00","43256","44985"
"12.02.2019 12:00 - 12.02.2019 12:30","43222","44256"
"12.02.2019 12:30 - 12.02.2019 13:00","43024","43812"
"12.02.2019 13:00 - 12.02.2019 13:30","42796","44286"
"12.02.2019 13:30 - 12.02.2019 14:00","42496","44129"
"12.02.2019 14:00 - 12.02.2019 14:30","42291","43685"
"12.02.2019 14:30 - 12.02.2019 15:00","42050","43125"
"12.02.2019 15:00 - 12.02.2019 15:30","42134","43257"
"12.02.2019 15:30 - 12.02.2019 16:00","42500","43809"
"12.02.2019 16:00 - 12.02.2019 16:30","43136","44788"
"12.02.2019 16:30 - 12.02.2019 17:00","44428","45520"
"12.02.2019 17:00 - 12.02.2019 17:30","45890","46980"
"12.02.2019 17:30 - 12.02.2019 18:00","46390","48350"
"12.02.2019 18:00 - 12.02.2019 18:30","45809","48333"
"12.02.2019 18:30 - 12.02.2019 19:00","44983","47956"
"12.02.2019 19:00 - 12.02.2019 19:30","44171","47375"
"12.02.2019 19:30 - 12.02.2019 20:00","43017","46275"
"12.02.2019 20:00 - 12.02.2019 20:30","41311","45158"
"12.02.2019 20:30 - 12.02.2019 21:00","39438","43427"
"12.02.2019 21:00 - 12.02.2019 21:30","37384","41886"
"12.02.2019 21:30 - 12.02.2019 22:00","35229","39697"
"12.02.2019 22:00 - 12.02.2019 22:30","33238","37624"
"12.02.2019 22:30 - 12.02.2019 23:00","31228","35600"
"12.02.2019 23:00 - 12.02.2019 23:30","29439","33368"
"12.02.2019 23:30 - 13.02.2019 00:00","29216","32128"
"13.02.2019 00:00 - 13.02.2019 00:30","29647","31425"
"13.02.2019 00:30 - 13.02.2019 01:00","29714","32123"
"13.02.2019 01:00 - 13.02.2019 01:30","29213","31406"
"13.02.2019 01:30 - 13.02.2019 02:00","28509","30287"
"13.02.2019 02:00 - 13.02.2019 02:30","28058","29765"
"13.02.2019 02:30 - 13.02.2019 03:00","27856","29388"
"13.02.2019 03:00 - 13.02.2019 03:30","27398","28890"
"13.02.2019 03:30 - 13.02.2019 04:00","26910","28351"
"13.02.2019 04:00 - 13.02.2019 04:30","26828","27899"
"13.02.2019 04:30 - 13.02.2019 05:00","27450","28050"
"13.02.2019 05:00 - 13.02.2019 05:30","28429","28079"
"13.02.2019 05:30 - 13.02.2019 06:00","30669","30817"
"13.02.2019 06:00 - 13.02.2019 06:30","33880","34834"
"13.02.2019 06:30 - 13.02.2019 07:00","37155","38150"
"13.02.2019 07:00 - 13.02.2019 07:30","39595","42556"
"13.02.2019 07:30 - 13.02.2019 08:00","40625","43834"
"13.02.2019 08:00 - 13.02.2019 08:30","40919","44651"
"13.02.2019 08:30 - 13.02.2019 09:00","41202","44846"
"13.02.2019 09:00 - 13.02.2019 09:30","41743","44441"
"13.02.2019 09:30 - 13.02.2019 10:00","41614","45237"
"13.02.2019 10:00 - 13.02.2019 10:30","41543","45060"
"13.02.2019 10:30 - 13.02.2019 11:00","41990","44837"
"13.02.2019 11:00 - 13.02.2019 11:30","42310","44647"
"13.02.2019 11:30 - 13.02.2019 12:00","42585","44335"
"13.02.2019 12:00 - 13.02.2019 12:30","42749","44477"
"13.02.2019 12:30 - 13.02.2019 13:00","42551","43943"
"13.02.2019 13:00 - 13.02.2019 13:30","42275","43715"
"13.02.2019 13:30 - 13.02.2019 14:00","42080","43260"
"13.02.2019 14:00 - 13.02.2019 14:30","41704","44320"
"13.02.2019 14:30 - 13.02.2019 15:00","41227","44166"
"13.02.2019 15:00 - 13.02.2019 15:30","41373","44300"
"13.02.2019 15:30 - 13.02.2019 16:00","42068","45066"
"13.02.2019 16:00 - 13.02.2019 16:30","43018","45326"
"13.02.2019 16:30 - 13.02.2019 17:00","44263","46200"
"13.02.2019 17:00 - 13.02.2019 17:30","45304","47700"
"13.02.2019 17:30 - 13.02.2019 18:00","45622","49076"
"13.02.2019 18:00 - 13.02.2019 18:30","45488","48674"
"13.02.2019 18:30 - 13.02.2019 19:00","44744","48176"
"13.02.2019 19:00 - 13.02.2019 19:30","43795","47966"
"13.02.2019 19:30 - 13.02.2019 20:00","42746","47030"
"13.02.2019 20:00 - 13.02.2019 20:30","41166","46016"
"13.02.2019 20:30 - 13.02.2019 21:00","39336","44163"
"13.02.2019 21:00 - 13.02.2019 21:30","37308","42070"
"13.02.2019 21:30 - 13.02.2019 22:00","35035","39807"
"13.02.2019 22:00 - 13.02.2019 22:30","33048","37130"
"13.02.2019 22:30 - 13.02.2019 23:00","31228","35021"
"13.02.2019 23:00 - 13.02.2019 23:30","29516","33030"
"13.02.2019 23:30 - 14.02.2019 00:00","29138","31531"
"14.02.2019 00:00 - 14.02.2019 00:30","29020","31335"
"14.02.2019 00:30 - 14.02.2019 01:00","29056","32094"
"14.02.2019 01:00 - 14.02.2019 01:30","28524","31619"
"14.02.2019 01:30 - 14.02.2019 02:00","27986","30769"
"14.02.2019 02:00 - 14.02.2019 02:30","27742","30310"
"14.02.2019 02:30 - 14.02.2019 03:00","27487","30067"
"14.02.2019 03:00 - 14.02.2019 03:30","27109","29834"
"14.02.2019 03:30 - 14.02.2019 04:00","26795","29596"
"14.02.2019 04:00 - 14.02.2019 04:30","26593","29495"
"14.02.2019 04:30 - 14.02.2019 05:00","26860","29766"
"14.02.2019 05:00 - 14.02.2019 05:30","27668","30849"
"14.02.2019 05:30 - 14.02.2019 06:00","29851","32674"
"14.02.2019 06:00 - 14.02.2019 06:30","33072","37391"
"14.02.2019 06:30 - 14.02.2019 07:00","36648","40533"
"14.02.2019 07:00 - 14.02.2019 07:30","39517","43808"
"14.02.2019 07:30 - 14.02.2019 08:00","40602","44996"
"14.02.2019 08:00 - 14.02.2019 08:30","40973","45428"
"14.02.2019 08:30 - 14.02.2019 09:00","41342","45785"
"14.02.2019 09:00 - 14.02.2019 09:30","41792","45127"
"14.02.2019 09:30 - 14.02.2019 10:00","41868","46323"
"14.02.2019 10:00 - 14.02.2019 10:30","41735","45493"
"14.02.2019 10:30 - 14.02.2019 11:00","41893","45089"
"14.02.2019 11:00 - 14.02.2019 11:30","42225","44643"
"14.02.2019 11:30 - 14.02.2019 12:00","42486","44448"
"14.02.2019 12:00 - 14.02.2019 12:30","42613","45217"
"14.02.2019 12:30 - 14.02.2019 13:00","42522","44674"
"14.02.2019 13:00 - 14.02.2019 13:30","42399","44237"
"14.02.2019 13:30 - 14.02.2019 14:00","42286","44166"
"14.02.2019 14:00 - 14.02.2019 14:30","42107","42800"
"14.02.2019 14:30 - 14.02.2019 15:00","41735","42233"
"14.02.2019 15:00 - 14.02.2019 15:30","41661","42341"
"14.02.2019 15:30 - 14.02.2019 16:00","41663","43199"
"14.02.2019 16:00 - 14.02.2019 16:30","42071","44055"
"14.02.2019 16:30 - 14.02.2019 17:00","43771","44814"
"14.02.2019 17:00 - 14.02.2019 17:30","45280","46148"
"14.02.2019 17:30 - 14.02.2019 18:00","45470","48153"
"14.02.2019 18:00 - 14.02.2019 18:30","45019","48627"
"14.02.2019 18:30 - 14.02.2019 19:00","44418","48206"
"14.02.2019 19:00 - 14.02.2019 19:30","43624","47659"
"14.02.2019 19:30 - 14.02.2019 20:00","42614","46680"
"14.02.2019 20:00 - 14.02.2019 20:30","41252","45875"
"14.02.2019 20:30 - 14.02.2019 21:00","39546","44875"
"14.02.2019 21:00 - 14.02.2019 21:30","37646","42301"
"14.02.2019 21:30 - 14.02.2019 22:00","35502","40026"
"14.02.2019 22:00 - 14.02.2019 22:30","33567","37804"
"14.02.2019 22:30 - 14.02.2019 23:00","31604","36203"
"14.02.2019 23:00 - 14.02.2019 23:30","29958","34251"
"14.02.2019 23:30 - 15.02.2019 00:00","29171","33180"
"15.02.2019 00:00 - 15.02.2019 00:30","29459","32643"
"15.02.2019 00:30 - 15.02.2019 01:00","29781","32906"
"15.02.2019 01:00 - 15.02.2019 01:30","29323","32437"
"15.02.2019 01:30 - 15.02.2019 02:00","28829","31564"
"15.02.2019 02:00 - 15.02.2019 02:30","28607","30736"
"15.02.2019 02:30 - 15.02.2019 03:00","28340","30500"
"15.02.2019 03:00 - 15.02.2019 03:30","27981","30056"
"15.02.2019 03:30 - 15.02.2019 04:00","27627","29842"
"15.02.2019 04:00 - 15.02.2019 04:30","27571","29971"
"15.02.2019 04:30 - 15.02.2019 05:00","28067","30085"
"15.02.2019 05:00 - 15.02.2019 05:30","29083","30823"
"15.02.2019 05:30 - 15.02.2019 06:00","31298","32299"
"15.02.2019 06:00 - 15.02.2019 06:30","34223","31844"
"15.02.2019 06:30 - 15.02.2019 07:00","37100","40275"
"15.02.2019 07:00 - 15.02.2019 07:30","39319","43460"
"15.02.2019 07:30 - 15.02.2019 08:00","40751","44622"
"15.02.2019 08:00 - 15.02.2019 08:30","41889","45633"
"15.02.2019 08:30 - 15.02.2019 09:00","42407","46239"
"15.02.2019 09:00 - 15.02.2019 09:30","42423","45397"
"15.02.2019 09:30 - 15.02.2019 10:00","42286","46747"
"15.02.2019 10:00 - 15.02.2019 10:30","42285","45984"
"15.02.2019 10:30 - 15.02.2019 11:00","42412","45694"
"15.02.2019 11:00 - 15.02.2019 11:30","42475","45600"
"15.02.2019 11:30 - 15.02.2019 12:00","42511","45277"
"15.02.2019 12:00 - 15.02.2019 12:30","42301","45309"
"15.02.2019 12:30 - 15.02.2019 13:00","41882","44625"
"15.02.2019 13:00 - 15.02.2019 13:30","41241","44160"
"15.02.2019 13:30 - 15.02.2019 14:00","40721","43480"
"15.02.2019 14:00 - 15.02.2019 14:30","40465","42308"
"15.02.2019 14:30 - 15.02.2019 15:00","40093","41857"
"15.02.2019 15:00 - 15.02.2019 15:30","40088","40460"
"15.02.2019 15:30 - 15.02.2019 16:00","39817","40705"
"15.02.2019 16:00 - 15.02.2019 16:30","39686","42082"
"15.02.2019 16:30 - 15.02.2019 17:00","40714","42777"
"15.02.2019 17:00 - 15.02.2019 17:30","42546","44691"
"15.02.2019 17:30 - 15.02.2019 18:00","43708","46279"
"15.02.2019 18:00 - 15.02.2019 18:30","43290","46563"
"15.02.2019 18:30 - 15.02.2019 19:00","42338","46239"
"15.02.2019 19:00 - 15.02.2019 19:30","41298","46088"
"15.02.2019 19:30 - 15.02.2019 20:00","40175","44887"
"15.02.2019 20:00 - 15.02.2019 20:30","38787","43916"
"15.02.2019 20:30 - 15.02.2019 21:00","37181","42660"
"15.02.2019 21:00 - 15.02.2019 21:30","35605","41090"
"15.02.2019 21:30 - 15.02.2019 22:00","33826","39129"
"15.02.2019 22:00 - 15.02.2019 22:30","32215","36662"
"15.02.2019 22:30 - 15.02.2019 23:00","30707","35662"
"15.02.2019 23:00 - 15.02.2019 23:30","29402","32662"
"15.02.2019 23:30 - 16.02.2019 00:00","28632","31785"
"16.02.2019 00:00 - 16.02.2019 00:30","28903","30474"
"16.02.2019 00:30 - 16.02.2019 01:00","28996","31228"
"16.02.2019 01:00 - 16.02.2019 01:30","28428","30374"
"16.02.2019 01:30 - 16.02.2019 02:00","27696","29248"
"16.02.2019 02:00 - 16.02.2019 02:30","27301","28177"
"16.02.2019 02:30 - 16.02.2019 03:00","26958","27380"
"16.02.2019 03:00 - 16.02.2019 03:30","26342","26882"
"16.02.2019 03:30 - 16.02.2019 04:00","25894","25846"
"16.02.2019 04:00 - 16.02.2019 04:30","25701","25752"
"16.02.2019 04:30 - 16.02.2019 05:00","25670","25582"
"16.02.2019 05:00 - 16.02.2019 05:30","25791","25729"
"16.02.2019 05:30 - 16.02.2019 06:00","26672","26644"
"16.02.2019 06:00 - 16.02.2019 06:30","27924","26993"
"16.02.2019 06:30 - 16.02.2019 07:00","29094","29672"
"16.02.2019 07:00 - 16.02.2019 07:30","30202","30986"
"16.02.2019 07:30 - 16.02.2019 08:00","31746","32407"
"16.02.2019 08:00 - 16.02.2019 08:30","33782","33471"
"16.02.2019 08:30 - 16.02.2019 09:00","35412","34382"
"16.02.2019 09:00 - 16.02.2019 09:30","36392","37282"
"16.02.2019 09:30 - 16.02.2019 10:00","36695","36138"
"16.02.2019 10:00 - 16.02.2019 10:30","37125","36653"
"16.02.2019 10:30 - 16.02.2019 11:00","37473","39568"
"16.02.2019 11:00 - 16.02.2019 11:30","37289","39599"
"16.02.2019 11:30 - 16.02.2019 12:00","37069","39565"
"16.02.2019 12:00 - 16.02.2019 12:30","36748","39494"
"16.02.2019 12:30 - 16.02.2019 13:00","36153","39426"
"16.02.2019 13:00 - 16.02.2019 13:30","35538","39029"
"16.02.2019 13:30 - 16.02.2019 14:00","34995","35068"
"16.02.2019 14:00 - 16.02.2019 14:30","34651","38273"
"16.02.2019 14:30 - 16.02.2019 15:00","34251","38096"
"16.02.2019 15:00 - 16.02.2019 15:30","33843","37660"
"16.02.2019 15:30 - 16.02.2019 16:00","33918","37587"
"16.02.2019 16:00 - 16.02.2019 16:30","34608","37722"
"16.02.2019 16:30 - 16.02.2019 17:00","35973","38517"
"16.02.2019 17:00 - 16.02.2019 17:30","38092","39598"
"16.02.2019 17:30 - 16.02.2019 18:00","39300","41562"
"16.02.2019 18:00 - 16.02.2019 18:30","39058","42878"
"16.02.2019 18:30 - 16.02.2019 19:00","38402","42413"
"16.02.2019 19:00 - 16.02.2019 19:30","37337","42122"
"16.02.2019 19:30 - 16.02.2019 20:00","36200","41597"
"16.02.2019 20:00 - 16.02.2019 20:30","35022","40237"
"16.02.2019 20:30 - 16.02.2019 21:00","33816","38850"
"16.02.2019 21:00 - 16.02.2019 21:30","32532","37415"
"16.02.2019 21:30 - 16.02.2019 22:00","31048","36036"
"16.02.2019 22:00 - 16.02.2019 22:30","29867","34706"
"16.02.2019 22:30 - 16.02.2019 23:00","28771","33164"
"16.02.2019 23:00 - 16.02.2019 23:30","27628","32106"
"16.02.2019 23:30 - 17.02.2019 00:00","27331","29788"
"17.02.2019 00:00 - 17.02.2019 00:30","26714","28908"
"17.02.2019 00:30 - 17.02.2019 01:00","26834","28609"
"17.02.2019 01:00 - 17.02.2019 01:30","26222","28905"
"17.02.2019 01:30 - 17.02.2019 02:00","25502","28375"
"17.02.2019 02:00 - 17.02.2019 02:30","25170","27225"
"17.02.2019 02:30 - 17.02.2019 03:00","24738","25853"
"17.02.2019 03:00 - 17.02.2019 03:30","24020","25407"
"17.02.2019 03:30 - 17.02.2019 04:00","23525","23826"
"17.02.2019 04:00 - 17.02.2019 04:30","23275","24119"
"17.02.2019 04:30 - 17.02.2019 05:00","23179","23504"
"17.02.2019 05:00 - 17.02.2019 05:30","23246","23288"
"17.02.2019 05:30 - 17.02.2019 06:00","23797","23543"
"17.02.2019 06:00 - 17.02.2019 06:30","24674","23876"
"17.02.2019 06:30 - 17.02.2019 07:00","25287","25955"
"17.02.2019 07:00 - 17.02.2019 07:30","26038","27440"
"17.02.2019 07:30 - 17.02.2019 08:00","27442","28428"
"17.02.2019 08:00 - 17.02.2019 08:30","29241","29051"
"17.02.2019 08:30 - 17.02.2019 09:00","31006","30455"
"17.02.2019 09:00 - 17.02.2019 09:30","32667","31754"
"17.02.2019 09:30 - 17.02.2019 10:00","33711","34634"
"17.02.2019 10:00 - 17.02.2019 10:30","34324","33520"
"17.02.2019 10:30 - 17.02.2019 11:00","34930","36555"
"17.02.2019 11:00 - 17.02.2019 11:30","35517","37598"
"17.02.2019 11:30 - 17.02.2019 12:00","35970","38016"
"17.02.2019 12:00 - 17.02.2019 12:30","36136","38522"
"17.02.2019 12:30 - 17.02.2019 13:00","35946","38146"
"17.02.2019 13:00 - 17.02.2019 13:30","35409","34058"
"17.02.2019 13:30 - 17.02.2019 14:00","34964","33767"
"17.02.2019 14:00 - 17.02.2019 14:30","34736","36788"
"17.02.2019 14:30 - 17.02.2019 15:00","34729","36440"
"17.02.2019 15:00 - 17.02.2019 15:30","34955","36123"
"17.02.2019 15:30 - 17.02.2019 16:00","35381","36367"
"17.02.2019 16:00 - 17.02.2019 16:30","36220","36784"
"17.02.2019 16:30 - 17.02.2019 17:00","37550","37415"
"17.02.2019 17:00 - 17.02.2019 17:30","39276","38524"
"17.02.2019 17:30 - 17.02.2019 18:00","40123","39937"
"17.02.2019 18:00 - 17.02.2019 18:30","39747","41371"
"17.02.2019 18:30 - 17.02.2019 19:00","39023","41787"
"17.02.2019 19:00 - 17.02.2019 19:30","38061","40958"
"17.02.2019 19:30 - 17.02.2019 20:00","37029","40460"
"17.02.2019 20:00 - 17.02.2019 20:30","35703","39543"
"17.02.2019 20:30 - 17.02.2019 21:00","34285","38521"
"17.02.2019 21:00 - 17.02.2019 21:30","32839","37318"
"17.02.2019 21:30 - 17.02.2019 22:00","31183","35975"
"17.02.2019 22:00 - 17.02.2019 22:30","29694","34249"
"17.02.2019 22:30 - 17.02.2019 23:00","27993","32074"
"17.02.2019 23:00 - 17.02.2019 23:30","26467","30771"
"17.02.2019 23:30 - 18.02.2019 00:00","26003","28921"
"18.02.2019 00:00 - 18.02.2019 00:30","26059","28019"
"18.02.2019 00:30 - 18.02.2019 01:00","26378","27717"
"18.02.2019 01:00 - 18.02.2019 01:30","25889","28260"
"18.02.2019 01:30 - 18.02.2019 02:00","25253","27966"
"18.02.2019 02:00 - 18.02.2019 02:30","24894","27055"
"18.02.2019 02:30 - 18.02.2019 03:00","24640","26123"
