"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|GB","Actual Total Load [MW] - BZN|GB"
"03.01.2017 20:00 - 03.01.2017 20:30","43764","44175"
"03.01.2017 20:30 - 03.01.2017 21:00","41916","42326"
"03.01.2017 21:00 - 03.01.2017 21:30","39757","39724"
"03.01.2017 21:30 - 03.01.2017 22:00","37443","37300"
"03.01.2017 22:00 - 03.01.2017 22:30","35356","35292"
"03.01.2017 22:30 - 03.01.2017 23:00","33080","33375"
"03.01.2017 23:00 - 03.01.2017 23:30","30975","31145"
"03.01.2017 23:30 - 04.01.2017 00:00","30970","29606"
"04.01.2017 00:00 - 04.01.2017 00:30","31248","29519"
"04.01.2017 00:30 - 04.01.2017 01:00","31027","28821"
"04.01.2017 01:00 - 04.01.2017 01:30","30395","28773"
"04.01.2017 01:30 - 04.01.2017 02:00","29601","27787"
"04.01.2017 02:00 - 04.01.2017 02:30","29265","26077"
"04.01.2017 02:30 - 04.01.2017 03:00","28729","26057"
"04.01.2017 03:00 - 04.01.2017 03:30","27647","25270"
"04.01.2017 03:30 - 04.01.2017 04:00","26688","24802"
"04.01.2017 04:00 - 04.01.2017 04:30","26376","24457"
"04.01.2017 04:30 - 04.01.2017 05:00","26774","24462"
"04.01.2017 05:00 - 04.01.2017 05:30","27570","25727"
"04.01.2017 05:30 - 04.01.2017 06:00","29784","27116"
"04.01.2017 06:00 - 04.01.2017 06:30","33085","31376"
"04.01.2017 06:30 - 04.01.2017 07:00","36878","34461"
"04.01.2017 07:00 - 04.01.2017 07:30","40205","39039"
"04.01.2017 07:30 - 04.01.2017 08:00","41804","41264"
"04.01.2017 08:00 - 04.01.2017 08:30","42172","42495"
"04.01.2017 08:30 - 04.01.2017 09:00","42493","43064"
"04.01.2017 09:00 - 04.01.2017 09:30","43243","43974"
"04.01.2017 09:30 - 04.01.2017 10:00","43424","44424"
"04.01.2017 10:00 - 04.01.2017 10:30","43538","44533"
"04.01.2017 10:30 - 04.01.2017 11:00","43811","44618"
"04.01.2017 11:00 - 04.01.2017 11:30","44033","44678"
"04.01.2017 11:30 - 04.01.2017 12:00","44277","44562"
"04.01.2017 12:00 - 04.01.2017 12:30","44396","44538"
"04.01.2017 12:30 - 04.01.2017 13:00","44490","44540"
"04.01.2017 13:00 - 04.01.2017 13:30","44499","44221"
"04.01.2017 13:30 - 04.01.2017 14:00","44694","44171"
"04.01.2017 14:00 - 04.01.2017 14:30","44748","44161"
"04.01.2017 14:30 - 04.01.2017 15:00","44804","44127"
"04.01.2017 15:00 - 04.01.2017 15:30","45474","44458"
"04.01.2017 15:30 - 04.01.2017 16:00","47235","45452"
"04.01.2017 16:00 - 04.01.2017 16:30","49174","48200"
"04.01.2017 16:30 - 04.01.2017 17:00","49886","49867"
"04.01.2017 17:00 - 04.01.2017 17:30","49787","50543"
"04.01.2017 17:30 - 04.01.2017 18:00","49437","50166"
"04.01.2017 18:00 - 04.01.2017 18:30","49245","49963"
"04.01.2017 18:30 - 04.01.2017 19:00","48800","49731"
"04.01.2017 19:00 - 04.01.2017 19:30","47756","49201"
"04.01.2017 19:30 - 04.01.2017 20:00","46332","48238"
"04.01.2017 20:00 - 04.01.2017 20:30","44551","45399"
"04.01.2017 20:30 - 04.01.2017 21:00","42661","43471"
"04.01.2017 21:00 - 04.01.2017 21:30","40633","41570"
"04.01.2017 21:30 - 04.01.2017 22:00","38438","39166"
"04.01.2017 22:00 - 04.01.2017 22:30","36396","37049"
"04.01.2017 22:30 - 04.01.2017 23:00","34084","34749"
"04.01.2017 23:00 - 04.01.2017 23:30","31980","32735"
"04.01.2017 23:30 - 05.01.2017 00:00","31449","31318"
"05.01.2017 00:00 - 05.01.2017 00:30","30719","31317"
"05.01.2017 00:30 - 05.01.2017 01:00","30660","31738"
"05.01.2017 01:00 - 05.01.2017 01:30","30071","31280"
"05.01.2017 01:30 - 05.01.2017 02:00","29302","30419"
"05.01.2017 02:00 - 05.01.2017 02:30","28910","29914"
"05.01.2017 02:30 - 05.01.2017 03:00","28859","29708"
"05.01.2017 03:00 - 05.01.2017 03:30","28555","30160"
"05.01.2017 03:30 - 05.01.2017 04:00","28249","29784"
"05.01.2017 04:00 - 05.01.2017 04:30","28178","28813"
"05.01.2017 04:30 - 05.01.2017 05:00","28236","29065"
"05.01.2017 05:00 - 05.01.2017 05:30","28806","29110"
"05.01.2017 05:30 - 05.01.2017 06:00","31107","30645"
"05.01.2017 06:00 - 05.01.2017 06:30","34763","34975"
"05.01.2017 06:30 - 05.01.2017 07:00","38873","38433"
"05.01.2017 07:00 - 05.01.2017 07:30","42382","42087"
"05.01.2017 07:30 - 05.01.2017 08:00","44068","44301"
"05.01.2017 08:00 - 05.01.2017 08:30","44452","45987"
"05.01.2017 08:30 - 05.01.2017 09:00","44669","46155"
"05.01.2017 09:00 - 05.01.2017 09:30","45490","46492"
"05.01.2017 09:30 - 05.01.2017 10:00","46042","46922"
"05.01.2017 10:00 - 05.01.2017 10:30","46148","46742"
"05.01.2017 10:30 - 05.01.2017 11:00","46114","46664"
"05.01.2017 11:00 - 05.01.2017 11:30","46427","46413"
"05.01.2017 11:30 - 05.01.2017 12:00","46870","46300"
"05.01.2017 12:00 - 05.01.2017 12:30","46926","46250"
"05.01.2017 12:30 - 05.01.2017 13:00","46855","46165"
"05.01.2017 13:00 - 05.01.2017 13:30","46435","45920"
"05.01.2017 13:30 - 05.01.2017 14:00","46125","45815"
"05.01.2017 14:00 - 05.01.2017 14:30","45808","44802"
"05.01.2017 14:30 - 05.01.2017 15:00","45417","44803"
"05.01.2017 15:00 - 05.01.2017 15:30","45584","45569"
"05.01.2017 15:30 - 05.01.2017 16:00","46919","46588"
"05.01.2017 16:00 - 05.01.2017 16:30","49434","50002"
"05.01.2017 16:30 - 05.01.2017 17:00","51184","51864"
"05.01.2017 17:00 - 05.01.2017 17:30","51352","51968"
"05.01.2017 17:30 - 05.01.2017 18:00","51027","51541"
"05.01.2017 18:00 - 05.01.2017 18:30","50599","51203"
"05.01.2017 18:30 - 05.01.2017 19:00","49855","51370"
"05.01.2017 19:00 - 05.01.2017 19:30","48708","51024"
"05.01.2017 19:30 - 05.01.2017 20:00","47244","49642"
"05.01.2017 20:00 - 05.01.2017 20:30","45488","46699"
"05.01.2017 20:30 - 05.01.2017 21:00","43558","44558"
"05.01.2017 21:00 - 05.01.2017 21:30","41404","42795"
"05.01.2017 21:30 - 05.01.2017 22:00","38775","40551"
"05.01.2017 22:00 - 05.01.2017 22:30","36409","38338"
"05.01.2017 22:30 - 05.01.2017 23:00","34192","36134"
"05.01.2017 23:00 - 05.01.2017 23:30","32492","34023"
"05.01.2017 23:30 - 06.01.2017 00:00","30572","32354"
"06.01.2017 00:00 - 06.01.2017 00:30","31550","32325"
"06.01.2017 00:30 - 06.01.2017 01:00","31541","31556"
"06.01.2017 01:00 - 06.01.2017 01:30","30903","31353"
"06.01.2017 01:30 - 06.01.2017 02:00","30135","30383"
"06.01.2017 02:00 - 06.01.2017 02:30","29826","29720"
"06.01.2017 02:30 - 06.01.2017 03:00","29743","29544"
"06.01.2017 03:00 - 06.01.2017 03:30","29444","28817"
"06.01.2017 03:30 - 06.01.2017 04:00","29046","28314"
"06.01.2017 04:00 - 06.01.2017 04:30","28865","27904"
"06.01.2017 04:30 - 06.01.2017 05:00","29125","27945"
"06.01.2017 05:00 - 06.01.2017 05:30","29818","28487"
"06.01.2017 05:30 - 06.01.2017 06:00","31857","30194"
"06.01.2017 06:00 - 06.01.2017 06:30","35049","34520"
"06.01.2017 06:30 - 06.01.2017 07:00","38961","37776"
"06.01.2017 07:00 - 06.01.2017 07:30","42380","41171"
"06.01.2017 07:30 - 06.01.2017 08:00","43658","43397"
"06.01.2017 08:00 - 06.01.2017 08:30","43950","44544"
"06.01.2017 08:30 - 06.01.2017 09:00","44652","44695"
"06.01.2017 09:00 - 06.01.2017 09:30","45430","45456"
"06.01.2017 09:30 - 06.01.2017 10:00","45611","45925"
"06.01.2017 10:00 - 06.01.2017 10:30","46238","46218"
"06.01.2017 10:30 - 06.01.2017 11:00","46751","46381"
"06.01.2017 11:00 - 06.01.2017 11:30","46587","46828"
"06.01.2017 11:30 - 06.01.2017 12:00","46711","46834"
"06.01.2017 12:00 - 06.01.2017 12:30","46830","46655"
"06.01.2017 12:30 - 06.01.2017 13:00","46688","46439"
"06.01.2017 13:00 - 06.01.2017 13:30","46664","46587"
"06.01.2017 13:30 - 06.01.2017 14:00","46655","46469"
"06.01.2017 14:00 - 06.01.2017 14:30","46301","46112"
"06.01.2017 14:30 - 06.01.2017 15:00","45812","45872"
"06.01.2017 15:00 - 06.01.2017 15:30","45834","45856"
"06.01.2017 15:30 - 06.01.2017 16:00","46721","46399"
"06.01.2017 16:00 - 06.01.2017 16:30","48265","47988"
"06.01.2017 16:30 - 06.01.2017 17:00","49126","48983"
"06.01.2017 17:00 - 06.01.2017 17:30","48829","49419"
"06.01.2017 17:30 - 06.01.2017 18:00","48469","48783"
"06.01.2017 18:00 - 06.01.2017 18:30","48172","48056"
"06.01.2017 18:30 - 06.01.2017 19:00","47293","48043"
"06.01.2017 19:00 - 06.01.2017 19:30","45837","47290"
"06.01.2017 19:30 - 06.01.2017 20:00","44262","46447"
"06.01.2017 20:00 - 06.01.2017 20:30","42489","45327"
"06.01.2017 20:30 - 06.01.2017 21:00","40676","43355"
"06.01.2017 21:00 - 06.01.2017 21:30","38751","41701"
"06.01.2017 21:30 - 06.01.2017 22:00","36723","39784"
"06.01.2017 22:00 - 06.01.2017 22:30","35037","37849"
"06.01.2017 22:30 - 06.01.2017 23:00","33240","35926"
"06.01.2017 23:00 - 06.01.2017 23:30","31662","34364"
"06.01.2017 23:30 - 07.01.2017 00:00","30042","32540"
"07.01.2017 00:00 - 07.01.2017 00:30","31161","30402"
"07.01.2017 00:30 - 07.01.2017 01:00","31279","29483"
"07.01.2017 01:00 - 07.01.2017 01:30","30501","29773"
"07.01.2017 01:30 - 07.01.2017 02:00","29698","29297"
"07.01.2017 02:00 - 07.01.2017 02:30","29283","28298"
"07.01.2017 02:30 - 07.01.2017 03:00","28758","27614"
"07.01.2017 03:00 - 07.01.2017 03:30","27932","27328"
"07.01.2017 03:30 - 07.01.2017 04:00","27229","26869"
"07.01.2017 04:00 - 07.01.2017 04:30","26741","26100"
"07.01.2017 04:30 - 07.01.2017 05:00","26475","26413"
"07.01.2017 05:00 - 07.01.2017 05:30","26467","25430"
"07.01.2017 05:30 - 07.01.2017 06:00","27272","26071"
"07.01.2017 06:00 - 07.01.2017 06:30","28545","27913"
"07.01.2017 06:30 - 07.01.2017 07:00","29958","29881"
"07.01.2017 07:00 - 07.01.2017 07:30","31381","31375"
"07.01.2017 07:30 - 07.01.2017 08:00","32941","32541"
"07.01.2017 08:00 - 07.01.2017 08:30","35050","34471"
"07.01.2017 08:30 - 07.01.2017 09:00","36747","36394"
"07.01.2017 09:00 - 07.01.2017 09:30","38032","37963"
"07.01.2017 09:30 - 07.01.2017 10:00","38980","38665"
"07.01.2017 10:00 - 07.01.2017 10:30","39513","39470"
"07.01.2017 10:30 - 07.01.2017 11:00","39745","39821"
"07.01.2017 11:00 - 07.01.2017 11:30","39855","40195"
"07.01.2017 11:30 - 07.01.2017 12:00","39998","40605"
"07.01.2017 12:00 - 07.01.2017 12:30","40078","40793"
"07.01.2017 12:30 - 07.01.2017 13:00","39936","40744"
"07.01.2017 13:00 - 07.01.2017 13:30","39571","40882"
"07.01.2017 13:30 - 07.01.2017 14:00","39316","40574"
"07.01.2017 14:00 - 07.01.2017 14:30","38865","40355"
"07.01.2017 14:30 - 07.01.2017 15:00","38801","40073"
"07.01.2017 15:00 - 07.01.2017 15:30","39235","39156"
"07.01.2017 15:30 - 07.01.2017 16:00","40525","39573"
"07.01.2017 16:00 - 07.01.2017 16:30","42767","42633"
"07.01.2017 16:30 - 07.01.2017 17:00","44470","44559"
"07.01.2017 17:00 - 07.01.2017 17:30","45057","45764"
"07.01.2017 17:30 - 07.01.2017 18:00","44724","45773"
"07.01.2017 18:00 - 07.01.2017 18:30","43908","45149"
"07.01.2017 18:30 - 07.01.2017 19:00","42759","44245"
"07.01.2017 19:00 - 07.01.2017 19:30","41382","42006"
"07.01.2017 19:30 - 07.01.2017 20:00","40025","40583"
"07.01.2017 20:00 - 07.01.2017 20:30","38554","39002"
"07.01.2017 20:30 - 07.01.2017 21:00","37219","37550"
"07.01.2017 21:00 - 07.01.2017 21:30","35815","35747"
"07.01.2017 21:30 - 07.01.2017 22:00","34154","34294"
"07.01.2017 22:00 - 07.01.2017 22:30","32826","32961"
"07.01.2017 22:30 - 07.01.2017 23:00","31323","31915"
"07.01.2017 23:00 - 07.01.2017 23:30","29841","30521"
"07.01.2017 23:30 - 08.01.2017 00:00","29139","29509"
"08.01.2017 00:00 - 08.01.2017 00:30","29131","29529"
"08.01.2017 00:30 - 08.01.2017 01:00","29223","29344"
"08.01.2017 01:00 - 08.01.2017 01:30","28551","29166"
"08.01.2017 01:30 - 08.01.2017 02:00","27659","27527"
"08.01.2017 02:00 - 08.01.2017 02:30","27116","26535"
"08.01.2017 02:30 - 08.01.2017 03:00","26590","26215"
"08.01.2017 03:00 - 08.01.2017 03:30","25770","25546"
"08.01.2017 03:30 - 08.01.2017 04:00","25123","24901"
"08.01.2017 04:00 - 08.01.2017 04:30","24746","24061"
"08.01.2017 04:30 - 08.01.2017 05:00","24555","23722"
"08.01.2017 05:00 - 08.01.2017 05:30","24572","23439"
"08.01.2017 05:30 - 08.01.2017 06:00","25073","23722"
"08.01.2017 06:00 - 08.01.2017 06:30","25769","24741"
"08.01.2017 06:30 - 08.01.2017 07:00","26635","25539"
"08.01.2017 07:00 - 08.01.2017 07:30","27547","26867"
"08.01.2017 07:30 - 08.01.2017 08:00","28507","28380"
"08.01.2017 08:00 - 08.01.2017 08:30","30066","30059"
"08.01.2017 08:30 - 08.01.2017 09:00","32044","31747"
"08.01.2017 09:00 - 08.01.2017 09:30","34008","33734"
"08.01.2017 09:30 - 08.01.2017 10:00","35625","35312"
"08.01.2017 10:00 - 08.01.2017 10:30","36881","36624"
"08.01.2017 10:30 - 08.01.2017 11:00","37614","37377"
"08.01.2017 11:00 - 08.01.2017 11:30","38246","38279"
"08.01.2017 11:30 - 08.01.2017 12:00","38847","38779"
"08.01.2017 12:00 - 08.01.2017 12:30","39172","39962"
"08.01.2017 12:30 - 08.01.2017 13:00","39307","40244"
"08.01.2017 13:00 - 08.01.2017 13:30","39208","39949"
"08.01.2017 13:30 - 08.01.2017 14:00","39102","39864"
"08.01.2017 14:00 - 08.01.2017 14:30","38987","39826"
"08.01.2017 14:30 - 08.01.2017 15:00","39188","39936"
"08.01.2017 15:00 - 08.01.2017 15:30","39816","40490"
"08.01.2017 15:30 - 08.01.2017 16:00","41057","41267"
"08.01.2017 16:00 - 08.01.2017 16:30","43364","44098"
"08.01.2017 16:30 - 08.01.2017 17:00","44997","46300"
"08.01.2017 17:00 - 08.01.2017 17:30","45104","47342"
"08.01.2017 17:30 - 08.01.2017 18:00","44660","46849"
"08.01.2017 18:00 - 08.01.2017 18:30","43879","45941"
"08.01.2017 18:30 - 08.01.2017 19:00","42726","45026"
"08.01.2017 19:00 - 08.01.2017 19:30","41512","42334"
"08.01.2017 19:30 - 08.01.2017 20:00","40505","40836"
"08.01.2017 20:00 - 08.01.2017 20:30","39219","40226"
"08.01.2017 20:30 - 08.01.2017 21:00","37710","38853"
"08.01.2017 21:00 - 08.01.2017 21:30","35967","36935"
"08.01.2017 21:30 - 08.01.2017 22:00","34011","35022"
"08.01.2017 22:00 - 08.01.2017 22:30","32224","32827"
"08.01.2017 22:30 - 08.01.2017 23:00","30307","31629"
"08.01.2017 23:00 - 08.01.2017 23:30","28553","29728"
"08.01.2017 23:30 - 09.01.2017 00:00","28170","28529"
"09.01.2017 00:00 - 09.01.2017 00:30","28670","28516"
"09.01.2017 00:30 - 09.01.2017 01:00","28581","27555"
"09.01.2017 01:00 - 09.01.2017 01:30","27819","27508"
"09.01.2017 01:30 - 09.01.2017 02:00","27008","26536"
"09.01.2017 02:00 - 09.01.2017 02:30","26488","25588"
"09.01.2017 02:30 - 09.01.2017 03:00","26193","25000"
"09.01.2017 03:00 - 09.01.2017 03:30","25960","24692"
"09.01.2017 03:30 - 09.01.2017 04:00","25707","24160"
"09.01.2017 04:00 - 09.01.2017 04:30","25602","23196"
"09.01.2017 04:30 - 09.01.2017 05:00","26182","23341"
"09.01.2017 05:00 - 09.01.2017 05:30","27342","23466"
"09.01.2017 05:30 - 09.01.2017 06:00","29737","25208"
"09.01.2017 06:00 - 09.01.2017 06:30","33163","29609"
"09.01.2017 06:30 - 09.01.2017 07:00","37035","33238"
"09.01.2017 07:00 - 09.01.2017 07:30","40387","36585"
"09.01.2017 07:30 - 09.01.2017 08:00","42168","38825"
"09.01.2017 08:00 - 09.01.2017 08:30","42676","40027"
"09.01.2017 08:30 - 09.01.2017 09:00","42934","40089"
"09.01.2017 09:00 - 09.01.2017 09:30","43633","41139"
"09.01.2017 09:30 - 09.01.2017 10:00","43936","41667"
"09.01.2017 10:00 - 09.01.2017 10:30","44174","41694"
"09.01.2017 10:30 - 09.01.2017 11:00","44504","41880"
"09.01.2017 11:00 - 09.01.2017 11:30","44865","42183"
"09.01.2017 11:30 - 09.01.2017 12:00","45309","42473"
"09.01.2017 12:00 - 09.01.2017 12:30","45477","42536"
"09.01.2017 12:30 - 09.01.2017 13:00","45395","42561"
"09.01.2017 13:00 - 09.01.2017 13:30","45218","43001"
"09.01.2017 13:30 - 09.01.2017 14:00","45087","42934"
"09.01.2017 14:00 - 09.01.2017 14:30","45094","43395"
"09.01.2017 14:30 - 09.01.2017 15:00","45111","43325"
"09.01.2017 15:00 - 09.01.2017 15:30","45679","44224"
"09.01.2017 15:30 - 09.01.2017 16:00","47155","45086"
"09.01.2017 16:00 - 09.01.2017 16:30","48709","47748"
"09.01.2017 16:30 - 09.01.2017 17:00","49820","49646"
"09.01.2017 17:00 - 09.01.2017 17:30","49984","50786"
"09.01.2017 17:30 - 09.01.2017 18:00","49299","50358"
"09.01.2017 18:00 - 09.01.2017 18:30","48916","48553"
"09.01.2017 18:30 - 09.01.2017 19:00","48448","47975"
"09.01.2017 19:00 - 09.01.2017 19:30","47260","47070"
"09.01.2017 19:30 - 09.01.2017 20:00","45599","45921"
"09.01.2017 20:00 - 09.01.2017 20:30","43744","43894"
"09.01.2017 20:30 - 09.01.2017 21:00","41874","42342"
"09.01.2017 21:00 - 09.01.2017 21:30","39653","40305"
"09.01.2017 21:30 - 09.01.2017 22:00","37173","38078"
"09.01.2017 22:00 - 09.01.2017 22:30","35003","35505"
"09.01.2017 22:30 - 09.01.2017 23:00","32721","33481"
"09.01.2017 23:00 - 09.01.2017 23:30","30617","31462"
"09.01.2017 23:30 - 10.01.2017 00:00","29478","29961"
"10.01.2017 00:00 - 10.01.2017 00:30","28907","29891"
"10.01.2017 00:30 - 10.01.2017 01:00","29343","29315"
